repository	private	default_branch	profiles	workflows	hosted	artifacts	cache	ghcr
belilovsky/adilet-digest-studio	true	main	qdev-ci,qdev-ci-docker	4	0	0	0	0
belilovsky/akorda_bot	true	main	qdev-ci,qdev-ci-docker	5	0	0	0	0
belilovsky/atlas-platform	true	main	qdev-ci	4	0	0	0	0
belilovsky/av-platform-core	true	main	qdev-ci	4	0	0	0	0
belilovsky/avds	true	codex/avds-5-launch	qdev-ci	4	0	0	0	0
belilovsky/cmnt-bank-league	true	main	qdev-ci	4	0	0	0	0
belilovsky/cmnt-web	true	main	qdev-ci,qdev-ci-browser,qdev-ci-docker	6	0	0	0	0
belilovsky/com-platform	true	main	qdev-ci	4	0	0	0	0
belilovsky/comm-strat	true	main	qdev-ci	4	0	0	0	0
belilovsky/commstrat-standalone	true	main	qdev-ci,qdev-ci-docker	6	0	0	0	0
belilovsky/constitution-rag	true	main	qdev-ci	5	0	0	0	0
belilovsky/constitution_my	true	main	qdev-ci,qdev-ci-browser,qdev-ci-docker	5	0	0	0	0
belilovsky/contr-control	true	main	qdev-ci	3	0	0	0	0
belilovsky/contr-influence	true	main	qdev-ci	3	0	0	0	0
belilovsky/Crisis-Monitor	true	main	qdev-ci,qdev-ci-browser,qdev-ci-docker	5	0	0	0	0
belilovsky/deploy-webhook	true	master	qdev-ci	3	0	0	0	0
belilovsky/disarm	false	master	qdev-ci	1	2	0	0	0
belilovsky/echo-sounder-	true	main	qdev-ci,qdev-ci-docker	5	0	0	0	0
belilovsky/echolot-app	true	main	qdev-ci	1	1	0	0	0
belilovsky/ecosystem	true	main	qdev-ci	7	0	0	0	0
belilovsky/editorial	true	main	qdev-ci,qdev-ci-docker	4	0	0	0	0
belilovsky/editorial-hub	true	main	qdev-ci,qdev-ci-browser	4	0	0	0	0
belilovsky/fbrk-clone	true	master	qdev-ci	4	0	0	0	0
belilovsky/gg-echolot	true	main	qdev-ci,qdev-ci-browser	1	0	0	0	0
belilovsky/grant-radar	true	main	qdev-ci	3	0	0	0	0
belilovsky/grant-radar-public	false	main	qdev-ci,qdev-ci-browser,qdev-ci-docker	3	0	0	0	0
belilovsky/how-kazakhstan-works	true	main	qdev-ci,qdev-ci-browser	3	0	0	0	0
belilovsky/id-qdev-run	true	main	qdev-ci,qdev-ci-docker	3	0	0	0	0
belilovsky/ideo-calendar	true	master	qdev-ci,qdev-ci-browser	4	0	0	0	0
belilovsky/ipos	true	main	qdev-ci,qdev-ci-docker	4	0	0	0	0
belilovsky/kazakh-translate	true	main	qdev-ci	4	3	0	0	0
belilovsky/knife-collection	true	master	qdev-ci,qdev-ci-browser	4	1	0	0	0
belilovsky/koz-news	true	main	qdev-ci	3	0	0	0	0
belilovsky/kz-report	true	main	qdev-ci	5	0	0	0	0
belilovsky/llm-kb-rag	true	main	qdev-ci,qdev-ci-docker	4	0	0	0	2
belilovsky/MapRegion	true	main	qdev-ci	3	0	0	0	0
belilovsky/mazhilis-viii	true	master	qdev-ci	5	0	0	0	0
belilovsky/mcp-servers	true	main	qdev-ci,qdev-ci-docker	3	0	0	0	0
belilovsky/migrations	true	master	qdev-ci	3	0	0	0	0
belilovsky/nginx-confs	true	master	qdev-ci	3	0	0	0	0
belilovsky/npa-collector	true	feat/npa-collector-mvp	qdev-ci	4	0	0	0	0
belilovsky/ortcom-kz	true	main	qdev-ci,qdev-ci-browser,qdev-ci-docker	6	10	0	0	2
belilovsky/osint-hub	true	codex/osint-hub-foundation	qdev-ci,qdev-ci-browser,qdev-ci-docker	4	0	0	0	0
belilovsky/papa-ryadom	true	app	qdev-ci,qdev-ci-browser,qdev-ci-docker	9	0	0	0	0
belilovsky/papa-tips	true	main	qdev-ci	3	0	0	0	0
belilovsky/photo-finder	true	main	qdev-ci	6	0	0	0	0
belilovsky/platform-monitor	true	main	qdev-ci,qdev-ci-docker	4	1	0	0	0
belilovsky/platform-portal	true	master	qdev-ci,qdev-ci-browser	11	0	0	0	0
belilovsky/project-idea-radar	true	main	qdev-ci	3	2	0	0	0
belilovsky/pssr	true	main	qdev-ci,qdev-ci-docker	3	0	0	0	0
belilovsky/pssr-cockpit-ui	true	main	qdev-ci	4	0	0	0	0
belilovsky/pssr-electoral-os	true	main	qdev-ci,qdev-ci-docker	7	0	0	0	0
belilovsky/pssr-kb	true	master	qdev-ci,qdev-ci-docker	4	0	0	0	0
belilovsky/pssr-regime-engine	true	main	qdev-ci,qdev-ci-docker	3	0	0	0	0
belilovsky/qalam	true	main	qdev-ci,qdev-ci-browser	4	0	0	0	0
belilovsky/qamqor-care-site	true	main	qdev-ci	1	1	0	0	0
belilovsky/qantar	true	main	qdev-ci,qdev-ci-browser,qdev-ci-docker	5	6	1	0	0
belilovsky/qaz-admin-kit	true	main	qdev-ci	3	0	0	0	0
belilovsky/qaz-context-engine	true	main	qdev-ci,qdev-ci-docker	1	2	1	0	0
belilovsky/qaz-industries	false	main	qdev-ci	5	0	0	0	0
belilovsky/qaz-six-previews	true	main	qdev-ci	3	0	0	0	0
belilovsky/qaz-support	true	main	qdev-ci,qdev-ci-browser	4	0	0	0	0
belilovsky/qazagents	true	main	qdev-ci,qdev-ci-docker	6	4	0	0	0
belilovsky/qazaqstan-space	true	main	qdev-ci	3	0	0	0	0
